Bedrooms,Bathrooms,Area_sqft,Location_Score,Age_years,Price
1,2,1592,4,18,391093
2,1,1983,7,14,564513
4,3,2594,9,44,822615
1,2,3785,5,6,764204
5,1,1711,8,42,651302
2,3,2785,7,39,712207
1,3,3779,5,15,797573
2,2,2123,3,23,533395
2,1,3182,3,22,626179
3,2,743,6,10,448109
2,3,3516,10,23,912868
3,3,3303,4,4,799099
4,3,2703,3,38,703834
3,3,1219,4,47,457190
5,1,2486,3,29,686234
1,1,1629,10,15,527466
4,2,3189,6,19,824921
4,2,3094,7,28,855942
5,2,2620,4,16,757694
3,3,2008,3,18,592857
1,2,3978,3,25,734531
3,1,3521,3,14,766896
2,2,1238,9,24,496900
3,2,3973,3,14,856899
4,1,2256,3,19,629272
1,1,3258,8,29,696048
3,3,1436,4,20,511895
1,1,2185,7,46,492482
1,1,1379,3,34,328087
2,2,1436,8,43,503268
2,1,3157,3,5,660227
4,3,3744,5,36,907060
5,2,3459,1,10,842815
1,3,3211,5,22,690995
5,1,864,6,43,499437
4,3,3898,7,38,995424
1,3,1816,2,8,439161
1,1,1997,2,17,392167
5,1,2657,9,45,832392
3,2,901,10,35,492722
2,2,2577,1,39,541972
3,2,1404,2,47,415892
5,1,1675,2,35,526173
2,3,2375,10,27,737726
3,3,698,7,18,480829
2,2,3240,6,29,743828
1,2,3684,9,37,815782
3,1,2013,7,14,605456
2,3,2577,3,43,575507
2,2,956,3,11,362506
2,1,2263,1,1,494243
3,2,3575,8,8,901332
4,1,610,1,34,300831
3,3,680,2,0,397657
5,1,3932,7,45,967143
3,2,2653,1,30,617857
2,2,3020,4,27,647758
1,3,3128,9,44,757113
3,3,821,8,36,504259
3,2,2540,8,6,758239
2,2,3752,3,45,746612
1,2,2546,5,15,592848
1,3,1114,4,49,328652
5,2,3731,8,13,1013132
3,3,820,7,32,451493
1,2,2996,7,5,704239
1,1,827,10,20,366207
4,1,2937,10,9,878897
4,2,892,7,31,495927
1,1,3457,1,5,606047
5,3,3864,7,1,1047152
1,1,1555,4,38,359741
2,1,2097,3,48,452554
3,3,1880,5,26,592916
5,1,2578,2,13,689419
2,1,2129,8,22,602475
5,2,987,9,38,611243
2,3,3262,5,20,741269
3,3,3013,3,40,729689
3,2,3305,10,29,869378
4,2,2937,7,24,813568
2,1,3980,1,23,706601
4,1,3949,10,10,1007989
2,1,788,3,34,279512
4,2,1517,9,3,677925
3,3,1801,2,36,533339
5,1,1523,9,35,638708
4,2,3635,1,12,829083
2,3,3022,4,8,703166
2,2,2221,10,27,676745
3,1,1359,6,45,444420
2,2,2077,7,15,595119
1,2,2864,3,5,600172
5,2,1665,9,26,701255
4,2,793,4,9,431129
5,3,1950,5,22,711586
3,1,1996,8,20,631160
4,3,2088,3,25,628312
4,2,762,8,44,498107
1,2,875,1,2,253666
3,1,963,8,42,441578
2,1,2265,10,34,618010
1,3,3422,8,6,826188
1,3,3127,6,26,686548
5,1,3336,5,41,824878
5,3,2602,9,32,864098
5,2,1059,6,3,573947
1,2,3936,1,25,691095
2,1,3186,6,7,706280
4,3,3621,1,19,832343
5,2,2732,6,16,829275
2,1,2331,3,4,547636
3,3,1939,6,48,615325
5,2,2890,6,8,848664
4,3,3527,1,7,839255
3,3,1965,9,6,717758
3,3,3848,8,36,933766
4,1,3801,2,35,822846
5,2,1256,2,2,537933
1,1,1706,5,7,414834
4,2,1983,10,4,750772
4,2,2735,2,4,707884
4,1,1341,1,16,452473
3,1,2595,2,46,582556
2,2,3632,5,26,798124
1,2,3118,10,39,740352
5,2,2121,7,38,732786
5,3,3063,5,48,862405
2,2,3722,1,11,746189
4,1,2223,7,27,690668
1,1,1281,6,3,374255
5,1,3734,7,27,971504
5,2,1712,2,24,596771
4,2,2324,5,49,679420
2,3,3861,8,35,900598
1,3,1498,7,41,466228
2,1,1200,6,2,410191
2,3,2467,6,30,656304
1,3,1799,1,36,398066
1,1,3423,1,11,620908
5,2,3548,7,36,947408
5,3,1082,3,36,525695
1,2,2610,6,3,623319
3,1,1742,5,29,527516
5,1,768,3,37,431692
3,3,2621,6,41,718290
1,1,2794,3,37,518587
5,1,1038,8,26,586515
2,1,3535,7,21,759312
1,3,3860,9,0,913830
4,3,759,5,47,465295
3,3,1413,1,42,429899
1,1,3049,10,37,707152
1,2,1185,8,19,448102
5,1,1463,2,17,518297
5,3,1641,6,5,695796
5,2,739,1,48,385114
4,2,1738,6,11,614533
5,3,927,4,16,543080
1,2,824,5,21,306891
5,2,1157,10,17,663063
2,3,3086,7,9,799683
5,2,2173,6,23,728775
4,2,2341,1,19,597440
2,3,985,9,11,521498
1,2,1120,6,3,413293
1,2,1876,6,41,452219
3,2,3267,9,4,887818
2,2,1721,10,25,578257
3,3,3434,5,35,812836
2,1,3742,6,15,803083
2,1,3198,6,4,717180
4,2,2433,7,25,757501
3,3,1046,9,18,574563
4,3,3761,5,5,947290
2,2,1842,5,23,512011
1,1,706,4,30,235480
2,2,2099,10,30,651643
4,3,3563,4,6,914871
3,3,2077,8,9,693169
3,1,1503,2,38,400597
4,3,2231,10,21,822672
3,3,3191,8,13,849909
5,3,1749,2,27,628532
1,1,1770,1,41,333170
1,3,2927,10,21,766876
1,2,623,9,31,338787
3,1,1551,8,10,550796
3,2,2344,6,13,662387
2,2,2639,4,30,617394
2,1,719,2,43,240448
1,2,2275,8,3,627270
5,1,1920,3,44,597166
2,2,1454,10,21,557454
2,1,1615,4,28,430358
3,3,3591,5,34,847604
5,3,3753,4,12,986670
1,2,1047,8,19,404777
2,3,2535,9,18,721866
5,1,2343,1,14,650821
5,2,1595,2,25,557856
1,3,2542,4,19,572082
5,3,2046,1,35,642815
5,2,3695,6,5,999054
5,3,1684,5,14,696196
2,3,2324,7,3,677916
1,2,2731,6,5,621233
5,3,2872,3,1,811948
5,3,785,5,35,508794
2,3,3022,3,49,637656
1,3,671,9,14,391838
3,2,673,2,11,320335
2,1,2520,6,39,584811
1,1,1964,9,43,495833
5,3,2800,10,40,928919
1,3,2743,7,6,671696
1,1,3092,5,21,604535
1,3,3781,2,7,739091
3,1,2081,2,41,484836
1,2,3475,4,10,718840
3,2,3722,10,1,981246
5,2,3024,2,29,769022
3,2,1364,8,3,585247
5,2,1696,10,24,738289
5,2,811,7,20,569715
3,1,1323,7,24,478107
2,3,3839,3,8,808347
4,1,3422,7,7,872956
1,2,2978,8,4,728363
4,3,2365,5,45,715613
1,3,1350,1,27,333490
1,2,2117,1,1,461765
5,2,3814,4,20,961364
1,2,2068,2,48,419627
1,2,3471,7,7,744974
3,2,993,3,33,376199
4,2,1111,4,22,484936
3,3,1285,9,14,602344
1,2,3268,2,26,613706
5,2,2338,8,1,826430
3,3,2320,1,27,579113
3,1,2426,3,10,612022
2,2,3999,4,45,777744
1,3,3251,6,20,735589
5,3,1882,1,41,616029
3,1,2457,8,31,670166
3,2,3365,2,31,735678
5,2,2996,5,6,871030
1,2,3162,6,21,682359
2,3,3046,8,13,792223
3,2,2861,3,12,696299
2,2,3209,9,20,808539
4,2,1912,5,21,620440
1,2,2464,8,33,591170
4,1,3930,4,9,906214
4,1,2905,9,0,861700
4,1,2011,8,0,710982
1,2,2407,5,23,548940
1,2,3341,3,2,669612
5,3,2168,1,30,669875
2,3,3936,5,42,855159
2,3,3984,5,40,863031
5,2,1663,4,12,615577
5,1,1597,10,3,731200
4,1,3467,10,22,924762
5,1,2857,8,5,880685
3,2,2919,3,33,667312
2,1,3807,10,40,851447
5,3,1198,9,17,683801
3,3,1683,3,35,503050
3,1,3686,4,25,768281
3,3,3670,6,32,870284
3,1,2902,9,32,758324
4,1,3384,10,24,903225
3,3,1321,2,16,478799
4,3,3182,2,2,813317
4,3,3906,2,21,902880
3,3,1754,5,48,547536
2,1,2308,6,34,548947
3,3,3671,3,3,846233
3,3,616,3,27,365316
3,2,3529,2,12,776397
2,3,3601,6,29,836647
1,3,3473,1,46,623737
1,1,1591,9,11,475688
4,1,1477,10,2,633460
4,2,2832,4,20,761064
2,3,2046,2,39,514468
5,3,2065,6,0,757912
1,3,2278,5,17,555962
4,3,3683,3,12,902748
1,3,2143,3,6,531041
2,3,679,5,12,394110
2,2,3456,4,16,752670
5,3,2949,5,44,838050
5,3,3887,2,31,949755
2,3,1871,1,28,466451
4,2,2164,5,44,636456
1,3,1895,1,29,408613
3,2,2780,3,10,677968
5,1,1628,8,13,663252
3,3,3403,8,9,909239
4,2,2165,9,7,751433
5,1,3276,1,30,780562
3,2,2313,4,5,620122
4,2,1609,6,18,622575
1,1,1372,7,18,423864
4,3,2788,5,11,799368
5,3,1082,7,38,624291
2,2,3976,10,49,903098
1,1,2992,8,17,663584
3,3,2185,10,2,777222
5,2,3941,6,8,1024876
2,1,3779,4,5,776398
4,2,2181,1,0,615281
2,1,3121,5,41,649601
5,3,1705,10,39,775078
5,3,1707,10,28,765408
2,2,3961,10,48,892426
4,3,3742,4,34,883524
2,3,774,5,34,391986
5,1,2451,4,29,686834
5,3,1441,9,34,703705
3,1,2472,3,38,590373
3,1,3513,3,21,752057
1,2,3762,10,42,832500
5,1,3116,7,27,855708
3,3,2486,2,17,621033
2,1,3920,9,31,860696
4,1,3291,8,4,873698
2,2,3328,6,33,741760
4,3,1554,9,30,663504
3,3,2195,3,45,577098
1,3,3496,4,32,724276
2,1,2888,7,3,688973
2,3,3349,1,13,695593
2,3,939,1,14,323112
4,1,3440,1,19,734818
3,2,1343,8,19,548564
2,2,2094,6,48,541128
2,1,3110,3,34,622441
1,2,3448,10,3,839350
1,2,3946,7,17,826965
3,2,2448,6,23,670814
3,3,614,5,26,425322
5,2,3712,3,32,893067
1,3,2588,4,24,574303
5,2,807,1,4,433081
4,3,1683,9,17,689626
5,1,3012,5,44,777947
2,1,3911,2,45,728901
5,2,3255,9,19,973386
3,3,2807,7,34,749316
4,1,996,8,5,531435
2,1,2557,3,26,562428
5,1,1393,7,27,596725
4,1,3147,1,10,727916
4,2,808,6,8,475955
2,3,1756,10,27,626832
5,1,1032,6,18,547259
4,2,3256,10,38,903959
4,1,2354,6,20,680661
1,1,3036,3,30,560781
4,1,3644,6,41,861218
1,1,1182,3,6,310240
5,2,1031,10,36,620526
5,3,1897,9,24,771677
5,2,950,7,27,553096
3,2,733,4,35,363418
5,2,3737,3,16,913405
4,1,1238,6,25,511862
2,3,1828,9,27,627667
1,1,3969,3,36,698119
3,2,716,8,16,449557
5,1,1890,6,48,616418
5,3,2417,4,16,761652
2,3,2796,5,32,662147
2,1,3865,3,33,747025
3,2,2303,2,22,581021
1,1,2447,9,29,600015
5,2,2826,3,26,756467
3,3,2795,6,8,775257
4,1,1064,5,19,457150
4,3,1575,10,22,702737
3,2,3216,8,46,817594
5,2,2625,5,18,787769
3,1,1628,8,36,550500
5,1,1125,5,44,509342
2,1,2927,10,3,779250
3,3,3146,6,12,832904
5,2,1435,5,37,568556
3,2,3083,2,11,694170
3,3,3463,10,8,964241
5,1,1839,10,14,756133
5,1,3334,6,20,877435
1,3,3475,7,14,772657
3,2,3616,3,48,744814
4,2,2138,3,4,654316
3,2,2510,7,4,728499
3,2,3808,10,24,942171
5,3,3259,4,23,880995
3,2,3242,2,36,685285
3,3,1903,9,30,679803
4,1,731,9,45,462300
5,3,992,6,33,577554
3,2,1080,2,40,364964
2,1,3275,3,13,679822
1,3,2634,5,26,612005
4,3,3066,5,46,811667
3,3,1825,9,3,692591
2,1,3299,10,22,799683
3,3,3305,3,37,766502
3,2,1061,2,45,357287
5,1,2401,10,4,839162
5,1,3873,8,26,987658
5,3,751,7,42,545701
2,2,2869,9,13,764525
3,1,678,3,6,335035
1,3,1823,6,45,469987
4,2,2385,5,44,689686
5,3,2746,5,17,820587
5,3,2624,10,31,898952
3,1,3559,8,1,887074
3,1,2860,1,40,603262
2,3,3814,1,42,725160
2,1,3349,3,19,681331
5,1,2436,2,28,646879
3,2,1997,2,42,517073
1,2,1675,2,25,383064
4,3,3614,4,37,865165
3,3,2247,1,0,611568
3,3,2782,10,4,859120
2,3,1010,9,13,498938
4,2,2608,5,24,730071
5,1,2093,5,47,664030
3,2,1735,9,8,641911
5,3,2148,5,29,731605
3,3,1384,8,18,570996
5,2,1667,1,39,521223
4,2,2020,1,7,571913
2,3,2609,4,15,650285
4,1,2208,8,49,663280
1,3,2908,3,7,644214
2,2,1342,1,22,358762
4,3,3192,9,8,955267
1,3,3035,9,31,739213
3,1,2663,9,36,722925
3,3,2620,9,33,780168
5,3,1261,2,45,505994
2,3,2427,4,17,636215
3,2,2749,2,44,608292
2,2,3857,7,43,849210
3,1,1550,3,14,446906
5,3,3578,9,14,1042513
4,2,624,7,28,458771
5,1,3743,8,22,982579
1,3,2216,9,22,640703
3,1,617,8,0,432578
1,1,1169,7,21,381541
1,1,1616,9,6,498123
2,1,1955,1,44,396239
3,1,2192,4,31,554112
1,1,3768,4,27,710703
4,1,1430,5,49,504900
1,3,1635,8,31,534061
4,3,3682,10,32,1007861
2,1,2532,1,42,489365
1,3,2810,6,12,667367
5,1,1906,9,27,728521
2,3,2352,10,8,735469
4,2,1471,8,47,597347
2,1,1434,2,42,332837
1,2,3912,7,2,846835
3,1,1456,5,16,472088
3,1,3716,2,33,737374
4,2,1569,1,31,488998
4,2,1192,2,8,488926
3,2,854,10,40,501043
4,1,2714,6,47,718712
2,2,3565,8,0,849333
5,2,3261,3,48,812336
5,3,3621,5,41,947713
2,3,1202,2,19,397991
5,2,1665,8,4,697341
1,2,2411,4,39,508108
2,2,2439,10,44,667751
4,2,2409,6,20,710384
2,3,3031,3,4,717067
3,1,1857,8,3,623742
4,2,1565,8,7,642866
3,2,2337,3,24,594499
4,3,1084,9,6,642297
5,2,638,10,36,583189
2,2,610,5,41,292304
1,3,1223,10,31,485061
4,2,1008,9,16,555854
4,2,2755,7,27,774586
3,3,2627,10,5,831887
5,1,1717,3,41,549779
3,2,2731,6,47,699937
3,2,2705,10,41,772026
5,1,3964,2,35,886740
1,3,3687,6,1,796340
3,1,3638,5,30,803830
3,2,3485,3,0,800872
4,1,1204,7,2,566281
5,3,1568,4,12,646920
2,2,764,6,30,351950
1,3,1036,9,28,429923
1,3,3374,6,43,737528
5,1,2279,4,32,657480
4,1,2409,10,9,766862
4,3,3050,2,37,765126
5,3,2009,9,8,818636
4,2,2577,4,0,714879
1,3,1761,4,43,432902
1,3,3363,2,36,639498
2,1,1413,5,31,405021
5,3,3369,6,32,930467
3,3,3178,10,1,902220
3,1,2429,6,45,604641
2,2,892,3,1,351701
2,1,2098,9,4,615806
4,1,3670,7,9,927595
2,3,1061,3,37,384573
2,3,3833,4,36,795074
3,2,3289,7,1,835781
4,3,2691,8,40,826664
2,2,1706,6,41,496608
2,2,3539,4,39,719437
4,2,3283,2,24,751588
5,2,3186,10,37,961964
4,3,3509,8,36,948694
3,1,3166,1,17,640334
5,1,2034,9,26,735591
1,3,1310,8,19,497088
4,3,2247,3,49,639527
3,2,688,10,33,498194
5,3,2263,4,43,704252
4,1,3901,10,7,1001022
2,3,1641,4,3,503866
4,3,3320,2,29,807107
1,2,3511,10,35,792202
4,2,3537,5,8,876015
5,2,3952,3,40,908720
5,2,2533,1,11,684418
4,1,1021,2,13,405275
5,3,1475,7,34,661327
2,3,3349,1,5,714567
4,2,937,2,46,377289
2,1,865,10,22,431595
2,1,3450,7,3,769560
3,3,1978,1,0,561561
4,2,3007,7,8,833712
5,3,3661,8,47,990835
2,3,2414,2,8,581501
3,1,2864,4,43,630090
4,1,920,7,45,445814
4,3,1449,1,14,531032
1,2,1318,6,23,395258
1,2,1591,5,47,395303
2,3,3883,6,7,891682
1,3,2408,8,27,641518
2,2,3600,1,41,687616
5,2,3874,3,45,910883
2,2,1316,9,16,520017
1,3,1584,8,34,509152
5,1,2539,4,30,717490
1,2,1495,10,3,528947
2,2,1776,9,47,563953
3,2,2376,7,13,685941
4,3,2934,2,24,743454
1,1,3404,1,45,583074
2,1,3992,1,47,721157
5,2,2059,3,39,651565
1,3,2215,10,49,612612
1,1,3143,2,6,578621
4,3,1772,4,30,588985
2,1,1141,8,34,414414
3,2,1234,5,37,464075
5,3,1949,5,19,708879
2,2,3586,6,15,822118
5,1,3700,5,21,910582
1,1,3930,5,35,750516
4,2,1297,7,18,557697
4,1,2552,6,1,751318
3,2,2722,10,3,827329
4,2,2204,2,33,582306
1,2,1097,1,6,298142
3,1,1321,1,46,362724
2,3,2374,4,48,562135
4,2,1963,2,13,588308
3,3,907,6,42,443967
1,1,3351,9,31,737543
5,1,1483,10,16,695906
5,3,1864,10,36,795161
1,2,852,8,13,368768
1,1,1535,4,16,365531
5,2,1843,2,31,613272
3,2,3044,1,1,692604
5,3,3633,7,38,990621
1,1,2352,10,3,647431
4,3,2337,3,39,655981
2,1,1652,6,29,454974
4,3,1093,5,29,523478
4,1,1558,5,32,537769
1,1,2621,2,41,485622
5,1,2347,9,0,802010
3,2,1777,4,32,538387
4,2,1591,10,35,670509
5,3,3902,1,48,900164
3,3,2749,2,30,648778
4,1,3474,9,36,884060
3,1,2824,7,13,719051
5,2,3631,10,5,1052680
2,2,1526,2,6,442403
5,2,2879,7,39,849013
1,3,2659,4,23,607591
3,2,1809,10,49,637009
2,3,3408,2,3,739089
3,2,1531,4,24,480925
3,2,2913,5,2,747805
4,1,2525,4,27,660527
1,3,1758,3,22,444324
3,2,1356,6,35,497014
5,1,1654,1,47,501231
5,3,1055,8,12,627145
4,3,858,5,21,488741
1,2,3775,8,24,802867
1,3,1030,10,42,433610
5,1,3116,4,23,823991
2,1,2564,4,42,541950
4,3,2573,5,36,722087
4,1,3878,5,32,890907
5,3,1246,6,13,627007
5,1,1046,5,23,495740
2,3,3430,5,21,791740
2,3,1712,8,36,584310
1,3,794,6,22,340260
4,1,2037,2,5,587859
4,3,1745,4,18,617141
5,3,3109,4,11,875539
1,2,1739,5,25,451466
4,2,795,6,28,465545
1,3,2683,5,13,627401
1,2,2714,6,16,619294
5,3,1244,8,29,675491
1,2,3952,4,6,771668
2,1,1634,3,20,421170
2,1,2353,9,0,658547
3,3,921,3,48,395330
5,3,2291,8,37,810314
3,1,2887,10,3,828670
2,1,1616,5,45,444873
3,2,3731,9,7,922791
5,3,1249,3,17,555005
5,1,3209,10,44,928277
1,1,2302,10,7,626902
4,3,2812,8,30,859957
1,2,1430,7,30,440285
5,2,788,7,27,554775
2,2,2110,10,47,616888
2,2,691,9,36,414354
1,1,2511,8,2,631922
5,3,2936,3,44,810141
2,3,3746,6,14,873606
5,1,2180,6,3,735401
2,1,2008,5,34,477285
5,1,3724,3,33,869707
3,3,774,9,35,495539
5,3,2296,7,5,824435
5,3,1073,4,3,573025
1,2,2534,6,48,572495
3,1,869,5,29,380242
4,1,2644,1,38,604311
1,1,3054,2,17,569564
4,3,3795,1,21,860466
2,1,1293,9,9,488392
4,1,975,9,48,525284
5,2,2015,5,28,698209
4,3,2829,8,22,858458
1,1,2683,10,3,685942
1,3,1835,4,18,473120
4,3,2571,1,25,660089
1,3,733,4,6,309871
1,2,3512,7,12,774008
4,3,1523,2,2,556345
3,3,1289,2,39,443565
3,3,2301,6,10,713659
2,1,2629,9,15,701706
1,2,3138,3,19,615161
4,1,2472,7,22,723056
1,2,1440,10,22,506883
5,2,1587,9,31,707721
1,3,2061,9,40,606546
1,3,1438,4,41,413984
3,1,3717,2,37,724033
4,2,3315,1,2,765380
1,3,3667,6,7,789207
3,3,3079,5,37,783976
2,3,2051,6,39,563789
3,3,1347,7,13,566361
3,1,3475,9,7,893597
3,1,3164,10,10,838232
1,3,3109,10,41,748388
1,3,1565,6,41,440969
2,3,2526,6,42,633400
5,3,2638,3,32,761805
5,3,2828,8,14,919478
5,2,744,9,36,573595
2,2,2450,1,13,517325
5,2,3936,6,25,998454
5,2,1334,7,7,639888
3,3,3053,8,48,803027
1,2,3460,10,3,837013
1,2,3616,8,35,763558
3,1,3602,7,17,844105
3,2,3131,8,26,831484
3,2,3129,9,18,831377
1,3,3908,10,2,937125
5,2,2986,7,8,892195
3,2,2915,3,38,677503
2,3,2913,9,1,825761
3,2,1127,1,8,378971
4,3,3763,8,5,1006639
3,2,3919,6,37,886731
1,1,3690,3,27,663387
3,1,3519,9,47,844960
4,2,2011,6,33,633833
2,1,3573,7,28,776973
5,3,1718,2,47,579657
3,2,1029,1,2,378970
4,3,3442,1,15,795791
4,1,3588,3,43,803928
2,3,1660,3,34,479567
1,1,2016,8,10,515787
3,1,2196,7,42,603425
4,1,3962,10,22,983746
2,3,2497,8,29,708449
5,1,2950,1,47,714637
4,2,2379,4,4,711210
2,1,3048,8,7,746810
1,2,3470,10,42,805481
1,2,2991,2,42,565959
4,2,3510,7,49,890130
4,2,1117,8,9,588984
3,3,2000,9,27,707226
2,2,764,7,35,364898
4,1,3684,9,9,952006
3,2,2672,2,13,652516
3,1,1746,1,37,427889
4,3,728,1,36,375205
1,2,3464,4,46,650461
2,1,2257,1,4,474903
2,3,1617,7,5,563180
1,3,1194,8,29,434818
4,1,1932,3,18,578718
2,2,3083,1,48,591357
4,3,781,3,13,469399
4,1,2211,2,10,576134
3,2,3263,6,45,777644
1,3,1343,7,4,481336
4,1,2438,9,44,720237
5,3,2690,5,30,828580
1,3,3051,4,43,638049
2,1,2552,1,31,505455
3,3,1204,6,23,523874
2,1,3303,8,9,789358
2,2,2389,4,12,573242
1,1,2213,1,46,385217
2,2,862,5,12,388640
4,3,2717,10,35,874686
2,1,1260,5,21,414228
3,1,1915,2,8,506139
3,1,3885,6,18,854098
5,1,3519,10,6,997487
3,2,1421,9,14,580374
2,2,2794,6,16,664407
3,3,2672,8,45,751436
1,3,1946,10,13,611326
3,3,2619,3,40,648430
4,3,3780,10,47,992852
1,1,3340,2,1,636212
5,2,2898,4,13,817947
4,2,3129,9,3,904129
2,2,3362,9,2,847890
2,2,1415,3,2,414991
2,3,1281,1,10,389290
4,1,2822,1,4,675907
4,2,1793,4,47,560954
4,1,601,4,28,364908
1,1,1238,10,27,455492
1,1,3353,6,22,676028
2,1,3009,5,29,665152
3,2,3967,6,22,899454
2,2,3217,10,40,806221
5,2,1189,7,21,614923
1,3,801,7,42,375396
4,2,1604,10,11,670662
1,3,1912,10,26,620695
4,3,2625,9,39,844707
5,3,3733,6,45,964732
5,2,2403,8,48,788891
1,2,725,2,14,254829
4,2,3639,8,46,921401
5,3,2696,9,22,887174
2,3,1445,4,43,428829
2,1,2396,5,40,560115
4,3,778,5,43,455880
1,3,2204,2,18,507021
5,2,2502,5,43,738728
1,1,1092,9,10,430938
2,1,3219,4,37,655998
5,1,2949,10,39,896203
1,2,1563,3,42,353818
3,1,3637,7,2,857616
4,1,1792,8,15,654241
4,2,3624,10,31,968148
3,1,2586,6,37,670895
2,3,868,6,8,448259
5,3,1987,5,40,686829
4,3,1223,6,37,552601
3,3,2747,9,4,827950
3,3,2862,2,0,706940
2,3,3272,10,34,837153
2,3,2744,3,34,638470
1,3,1418,1,11,354571
4,3,3277,4,35,825969
1,2,1147,2,20,289566
3,2,936,6,47,425070
5,3,958,1,42,452011
5,2,3961,8,7,1042105
2,2,2019,10,26,630172
5,3,2524,6,8,844005
5,3,1415,9,27,685402
5,2,959,6,29,538323
3,3,3662,10,13,962209
5,3,946,7,22,606909
5,3,1747,5,28,669553
5,3,1151,8,25,627788
1,2,3185,8,21,721291
3,1,3301,10,14,847389
2,2,2487,9,8,696784
1,1,2530,6,25,549347
4,1,1021,1,16,367168
3,1,935,9,8,482896
3,2,2126,3,2,606780
4,2,656,9,15,525305
4,2,2285,7,12,727234
4,2,3664,3,25,849768
2,2,3559,9,16,877456
5,1,3364,7,31,888064
3,2,3747,7,23,876185
5,1,2932,7,35,810829
5,2,1321,2,21,519803
4,2,985,4,8,462259
2,3,1549,10,21,583305
1,1,3417,8,40,702396
2,2,3930,2,49,727578
5,2,2100,4,45,666264
2,2,2319,10,19,686144
4,3,3487,8,2,957213
1,1,2658,3,35,508077
4,2,3619,6,32,877565
1,2,3319,2,17,633376
5,2,859,8,35,583223
1,3,992,8,9,452261
1,2,1199,1,35,273604
1,1,3855,3,20,709058
2,1,1639,2,24,384177
2,1,1355,7,48,418471
5,1,3757,7,39,941136
1,2,3358,4,8,681792
3,3,3681,8,47,899020
5,3,1076,3,26,548410
1,3,1787,9,14,557790
1,2,2671,5,31,578755
2,3,2199,2,47,501701
5,1,2959,9,43,850216
1,2,3909,1,49,685337
1,3,3109,8,38,733172
5,1,1861,6,15,661264
3,1,2669,1,27,581869
5,2,2827,4,5,797737
5,2,2441,3,5,734092
3,3,2182,7,37,680380
5,3,3438,7,46,932275
1,3,2359,6,1,616742
5,2,1329,10,40,650432
3,3,2098,10,39,725270
4,3,1348,8,6,634935
5,1,1315,7,26,582505
2,1,2986,4,27,650501
1,1,1130,7,15,364594
1,3,1291,1,46,308348
2,2,2809,3,8,634824
2,1,3732,2,14,726451
5,2,1708,7,33,688118
2,3,2170,9,19,662603
4,3,1089,5,13,537617
3,1,604,9,10,457343
2,2,675,8,29,399261
2,1,1876,1,2,433429
4,3,2654,2,1,745268
1,2,3328,6,49,664391
1,1,1072,5,13,313423
5,3,3809,7,28,1005643
4,1,1981,9,4,703743
3,2,3459,4,43,773017
3,2,1437,8,45,557743
4,2,1202,4,5,507066
3,2,1786,3,7,546892
1,2,2965,2,38,554374
3,1,2081,8,38,609998
3,1,3924,8,43,881359
4,1,3872,3,28,830317
4,1,2364,1,38,582861
3,3,2298,6,43,672680
2,3,3836,5,26,822990
4,1,831,8,15,504942
5,3,927,6,26,561505
5,3,2885,4,38,801694
1,2,1743,10,39,545535
3,1,1549,10,0,619450
2,3,2486,2,44,539540
1,3,3542,8,32,780158
3,1,3266,5,49,737911
4,2,2897,8,38,827068
5,1,1959,5,26,643287
2,2,1907,6,16,555600
5,3,797,10,14,651411
4,2,1015,5,21,500179
3,2,3379,3,18,739869
4,1,2018,10,27,709984
4,3,1537,8,22,650364
5,1,3822,3,35,868404
2,1,3936,4,48,740879
4,3,1843,6,38,633823
5,1,1839,2,47,561221
2,1,1938,7,48,505934
3,2,2291,5,19,621007
3,1,815,10,46,457845
1,3,2249,5,8,557122
5,1,1784,5,22,620167
2,2,3462,2,44,691969
4,1,1209,10,6,614034
3,1,3158,9,30,795408
2,1,1517,3,10,395220
5,2,756,7,39,509334
1,3,761,5,16,320816
3,3,641,10,35,483603
2,2,3851,10,25,912786
2,2,2950,5,35,649973
2,1,1953,4,17,491515
5,3,2186,10,30,840508
5,2,3661,6,48,939285
5,3,3411,7,34,972823
4,1,2052,7,40,649221
2,2,719,8,27,411398
3,3,1698,5,25,584302
5,3,2637,7,5,890360
5,1,3321,4,33,833987
2,2,3308,9,27,809935
5,3,722,5,43,502106
4,1,3300,3,46,748228
4,3,3853,5,8,978651
5,1,3568,9,28,978444
2,3,3661,8,33,861561
2,3,1388,1,11,413064
2,1,856,5,15,362240
1,2,2460,6,6,598924
5,1,3404,10,30,941154
2,2,3245,2,32,652899
4,3,1892,6,6,669891
3,3,3851,9,2,1003399
3,1,3438,4,19,774298
2,1,1772,3,4,440803
3,2,1771,9,2,641113
3,2,1279,2,46,384359
1,2,3680,9,37,814866
4,1,1801,10,14,678655
4,3,3443,2,34,816916
1,1,1207,10,22,437982
1,3,930,3,32,313916
3,1,2703,7,1,743317
5,1,1830,2,35,558484
3,2,2752,1,20,638662
1,3,1146,9,13,493931
4,1,1392,6,13,559634
3,1,2504,9,41,702608
5,3,1978,3,10,669490
3,1,2282,3,3,599147
2,3,1088,10,46,514445
3,2,2422,3,29,602357
1,2,2126,2,35,445236
4,3,3721,6,19,965419
4,2,3758,3,15,884282
1,3,2950,5,33,652526
2,1,3672,5,44,749916
1,1,1249,10,7,475240
3,3,1247,3,44,443567
1,1,1985,3,19,426843
1,2,980,1,20,253595
